Metric,Value
Number of CPU cores,4
CPU usage (%),4.07201
Estimated energy used (J),21730.6
Elapsed wall time (s),266.023
Elapsed CPU time (s),43.33
Total time in Conv (s),140.818
Total time in MatMul (s),155.128
Total time in BatchNorm (s),0
Total time in Truncation (s),3.437
Total time in Relu (s),6.069
Total time in MaxPool (s),8.143
Total time in AvgPool (s),0.145
Total time in ArgMax (s),0
Total data sent (MiB),844.461
Conv data sent (MiB),49.517
MatMul data sent (MiB),84.8453
BatchNorm data sent (MiB),0
Truncation data sent (MiB),139.103
Relu data sent (MiB),238.313
Maxpool data sent (MiB),350.831
Avgpool data sent (MiB),6.60938
ArgMax data sent (MiB),0
