Metric,Value
Number of CPU cores,4
CPU usage (%),11.8624
Estimated energy used (J),274886
Elapsed wall time (s),1158.39
Elapsed CPU time (s),549.65
Total time in Conv (s),629.436
Total time in MatMul (s),0
Total time in BatchNorm (s),61.606
Total time in Truncation (s),228.005
Total time in Relu (s),192.222
Total time in MaxPool (s),19.086
Total time in AvgPool (s),2.774
Total time in ArgMax (s),0.106
Total data sent (MiB),19037.6
Conv data sent (MiB),1237.06
MatMul data sent (MiB),0
BatchNorm data sent (MiB),741.253
Truncation data sent (MiB),8891.9
Relu data sent (MiB),7277.04
Maxpool data sent (MiB),786.422
Avgpool data sent (MiB),102.751
ArgMax data sent (MiB),1.13604
