Metric,Value
Number of CPU cores,4
CPU usage (%),23.9947
Estimated energy used (J),3681.68
Elapsed wall time (s),7.66834
Elapsed CPU time (s),7.36
Total time in Conv (s),0.045
Total time in MatMul (s),0.017
Total time in BatchNorm (s),0
Total time in Truncation (s),0
Total time in Relu (s),0.007
Total time in MaxPool (s),0.055
Total time in AvgPool (s),0
Total time in ArgMax (s),0.001
Total data sent (MiB),0.549985
Conv data sent (MiB),0.119084
MatMul data sent (MiB),0.178525
BatchNorm data sent (MiB),0
Truncation data sent (MiB),0.00336647
Relu data sent (MiB),0.0389376
Maxpool data sent (MiB),0.20874
Avgpool data sent (MiB),0
ArgMax data sent (MiB),0.00133133
