Metric,Value
Number of CPU cores,8
Average CPU usage (%),10.4503
Peak CPU usage (%),35.4328
Estimated energy used (J),3442.94
Elapsed wall time (s),18.2238
Elapsed CPU time (s),13.77
Total time taken (ms),6896
Total data sent (MiB),218.799
Total time in Conv (s),4.421
Total time in MatMul (s),0
Total time in BatchNorm (s),0
Total time in Truncation (s),0.433
Total time in Relu (s),0.835
Total time in MaxPool (s),1.148
Total time in AvgPool (s),0.008
Total time in ArgMax (s),0.015
Conv data sent (MiB),8.25286
MatMul data sent (MiB),0
BatchNorm data sent (MiB),0
Truncation data sent (MiB),39.3842
Relu data sent (MiB),69.9233
Maxpool data sent (MiB),101.031
Avgpool data sent (MiB),0.00261688
ArgMax data sent (MiB),0.204315
