Metric,Value
Number of CPU cores,8
Average CPU usage (%),9.74972
Peak CPU usage (%),35.5112
Estimated energy used (J),2085.9
Elapsed wall time (s),12.1679
Elapsed CPU time (s),8.34
Total time taken (ms),657
Total data sent (MiB),9.33446
Total time in Conv (s),0.415
Total time in MatMul (s),0.055
Total time in BatchNorm (s),0
Total time in Truncation (s),0.049
Total time in Relu (s),0.034
Total time in MaxPool (s),0.08
Total time in AvgPool (s),0
Total time in ArgMax (s),0.016
Conv data sent (MiB),0.750263
MatMul data sent (MiB),0.750256
BatchNorm data sent (MiB),0
Truncation data sent (MiB),2.33424
Relu data sent (MiB),1.41136
Maxpool data sent (MiB),3.88403
Avgpool data sent (MiB),0
ArgMax data sent (MiB),0.204315
