Metric,Value
Number of CPU cores,8
Average CPU usage (%),15.1324
Peak CPU usage (%),38.3636
Estimated energy used (J),60278.6
Elapsed wall time (s),156.875
Elapsed CPU time (s),240
Total time taken (ms),138139
Total data sent (MiB),3021.84
Total comm (sent+received) (MiB),6386
Conv data (sent+received) (MiB),547.472
MatMul data (sent+received) (MiB),0
BatchNorm data (sent+received) (MiB),0
Truncation data (sent+received) (MiB),1153.82
Relu data (sent+received) (MiB),2008.5
Maxpool data (sent+received) (MiB),2672.68
Avgpool data (sent+received) (MiB),2.20818
ArgMax data (sent+received) (MiB),1.32221
Conv data received (MiB),444.417
MatMul data received (MiB),0
BatchNorm data received (MiB),0
Truncation data received (MiB),576.913
Relu data received (MiB),1004.25
Maxpool data received (MiB),1336.34
Avgpool data received (MiB),1.10473
ArgMax data received (MiB),1.13604
Conv data sent (MiB),103.055
MatMul data sent (MiB),0
BatchNorm data sent (MiB),0
Truncation data sent (MiB),576.91
Relu data sent (MiB),1004.25
Maxpool data sent (MiB),1336.34
Avgpool data sent (MiB),1.10345
ArgMax data sent (MiB),0.186169
Total time in Conv (s),77.227
Total time in MatMul (s),0
Total time in BatchNorm (s),0
Total time in Truncation (s),12.167
Total time in Relu (s),21.852
Total time in MaxPool (s),26.548
Total time in AvgPool (s),0.055
Total time in ArgMax (s),0.11
