Metric,Value
Number of CPU cores,8
Average CPU usage (%),25.1432
Peak CPU usage (%),46.7025
Estimated energy used (J),947.75
Elapsed wall time (s),1.98295
Elapsed CPU time (s),3.79
Total time taken (ms),786
Total data sent (MiB),79.4249
Total time in Conv (s),0.51
Total time in MatMul (s),0.536
Total time in BatchNorm (s),0
Total time in Truncation (s),0.075
Total time in Relu (s),0.037
Total time in MaxPool (s),0.1
Total time in AvgPool (s),0
Total time in ArgMax (s),0.03
Conv data sent (MiB),34.0663
MatMul data sent (MiB),35.5584
BatchNorm data sent (MiB),0
Truncation data sent (MiB),1.88343
Relu data sent (MiB),0.878098
Maxpool data sent (MiB),2.45563
Avgpool data sent (MiB),0
ArgMax data sent (MiB),0.078125
