Metric,Value
Number of CPU cores,8
Average CPU usage (%),29.7797
Peak CPU usage (%),49.3977
Estimated energy used (J),1.7181e+06
Elapsed wall time (s),2362.97
Elapsed CPU time (s),6844.16
Total time taken (ms),2359488
Total data sent (MiB),436396
Total comm (sent+received) (MiB),877800
Conv data (sent+received) (MiB),424270
MatMul data (sent+received) (MiB),424483
BatchNorm data (sent+received) (MiB),6740.26
Truncation data (sent+received) (MiB),8317.73
Relu data (sent+received) (MiB),5624.55
Maxpool data (sent+received) (MiB),1005.18
Avgpool data (sent+received) (MiB),2.88916
ArgMax data (sent+received) (MiB),0.754208
Conv data received (MiB),212094
MatMul data received (MiB),212200
BatchNorm data received (MiB),3370.13
Truncation data received (MiB),6630.7
Relu data received (MiB),2812.28
Maxpool data received (MiB),502.59
Avgpool data received (MiB),1.44458
ArgMax data received (MiB),0.652344
Conv data sent (MiB),212176
MatMul data sent (MiB),212283
BatchNorm data sent (MiB),3370.13
Truncation data sent (MiB),1687.02
Relu data sent (MiB),2812.28
Maxpool data sent (MiB),502.59
Avgpool data sent (MiB),1.44458
ArgMax data sent (MiB),0.101864
Total time in Conv (s),2045.41
Total time in MatMul (s),2046.14
Total time in BatchNorm (s),49.496
Total time in Truncation (s),190.611
Total time in Relu (s),57.445
Total time in MaxPool (s),14.262
Total time in AvgPool (s),0.045
Total time in ArgMax (s),0.064
