Metric,Value
Number of CPU cores,8
Average CPU usage (%),19.8602
Peak CPU usage (%),40.8519
Estimated energy used (J),13530.5
Elapsed wall time (s),30.5262
Elapsed CPU time (s),53.92
Total time taken (ms),26822
Total data sent (MiB),2282.46
Total comm (sent+received) (MiB),4564.97
Conv data (sent+received) (MiB),2134.79
MatMul data (sent+received) (MiB),2134.79
BatchNorm data (sent+received) (MiB),0
Truncation data (sent+received) (MiB),40.6407
Relu data (sent+received) (MiB),99.6661
Maxpool data (sent+received) (MiB),144.328
Avgpool data (sent+received) (MiB),1.15916
ArgMax data (sent+received) (MiB),0.0812836
Conv data received (MiB),1064.17
MatMul data received (MiB),1064.17
BatchNorm data received (MiB),0
Truncation data received (MiB),20.3184
Relu data received (MiB),49.8331
Maxpool data received (MiB),72.1641
Avgpool data received (MiB),0.579617
ArgMax data received (MiB),0.078125
Conv data sent (MiB),1070.62
MatMul data sent (MiB),1070.62
BatchNorm data sent (MiB),0
Truncation data sent (MiB),20.3223
Relu data sent (MiB),49.8331
Maxpool data sent (MiB),72.1641
Avgpool data sent (MiB),0.57954
ArgMax data sent (MiB),0.00315857
Total time in Conv (s),21.369
Total time in MatMul (s),21.36
Total time in BatchNorm (s),0
Total time in Truncation (s),0.967
Total time in Relu (s),1.948
Total time in MaxPool (s),2.431
Total time in AvgPool (s),0.044
Total time in ArgMax (s),0.029
