Metric,Value
Number of CPU cores,8
Average CPU usage (%),39.5155
Peak CPU usage (%),48.7377
Estimated energy used (J),172890
Elapsed wall time (s),186.889
Elapsed CPU time (s),690.53
Total time taken (ms),185680
Total data sent (MiB),38514
Total comm (sent+received) (MiB),77028.5
Conv data (sent+received) (MiB),36685.2
MatMul data (sent+received) (MiB),36685.2
BatchNorm data (sent+received) (MiB),0
Truncation data (sent+received) (MiB),499.956
Relu data (sent+received) (MiB),1296.57
Maxpool data (sent+received) (MiB),1703.74
Avgpool data (sent+received) (MiB),1.95363
ArgMax data (sent+received) (MiB),0.754208
Conv data received (MiB),18300.7
MatMul data received (MiB),18300.7
BatchNorm data received (MiB),0
Truncation data received (MiB),249.976
Relu data received (MiB),648.286
Maxpool data received (MiB),851.869
Avgpool data received (MiB),0.976814
ArgMax data received (MiB),0.652344
Conv data sent (MiB),18384.5
MatMul data sent (MiB),18384.5
BatchNorm data sent (MiB),0
Truncation data sent (MiB),249.98
Relu data sent (MiB),648.286
Maxpool data sent (MiB),851.869
Avgpool data sent (MiB),0.976814
ArgMax data sent (MiB),0.101864
