Metric,Value
Number of CPU cores,8
Average CPU usage (%),10.1809
Peak CPU usage (%),25.3989
Estimated energy used (J),2105.87
Elapsed wall time (s),7.94321
Elapsed CPU time (s),7.97
Total time taken (ms),447
Total data sent (MiB),17.6407
Total comm (sent+received) (MiB),20.0493
Conv data (sent+received) (MiB),3.25872
MatMul data (sent+received) (MiB),1.89146
BatchNorm data (sent+received) (MiB),0
Truncation data (sent+received) (MiB),0.0241776
Relu data (sent+received) (MiB),0.287094
Maxpool data (sent+received) (MiB),1.52934
Avgpool data (sent+received) (MiB),0
ArgMax data (sent+received) (MiB),0
Conv data received (MiB),0.238098
MatMul data received (MiB),1.25019
BatchNorm data received (MiB),0
Truncation data received (MiB),0.012104
Relu data received (MiB),0.143547
Maxpool data received (MiB),0.764671
Avgpool data received (MiB),0
ArgMax data received (MiB),0
Conv data sent (MiB),3.02062
MatMul data sent (MiB),0.641272
BatchNorm data sent (MiB),0
Truncation data sent (MiB),0.0120735
Relu data sent (MiB),0.143547
Maxpool data sent (MiB),0.764671
Avgpool data sent (MiB),0
ArgMax data sent (MiB),0
Total time in Conv (s),0.094
Total time in MatMul (s),0.106
Total time in BatchNorm (s),0
Total time in Truncation (s),0.001
Total time in Relu (s),0.064
Total time in MaxPool (s),0.157
Total time in AvgPool (s),0
Total time in ArgMax (s),0
