Metric,Value
Number of CPU cores,8
Average CPU usage (%),17.8794
Peak CPU usage (%),94.0568
Estimated energy used (J),1995.16
Elapsed wall time (s),8.25762
Elapsed CPU time (s),7.98
Total time taken (ms),112
Total data sent (MiB),0.550081
Total time in Conv (s),0.038
Total time in MatMul (s),0.016
Total time in BatchNorm (s),0
Total time in Truncation (s),0
Total time in Relu (s),0.006
Total time in MaxPool (s),0.043
Total time in AvgPool (s),0
Total time in ArgMax (s),0.001
Conv data sent (MiB),0.119109
MatMul data sent (MiB),0.178596
BatchNorm data sent (MiB),0
Truncation data sent (MiB),0.00336647
Relu data sent (MiB),0.0389376
Maxpool data sent (MiB),0.20874
Avgpool data sent (MiB),0
ArgMax data sent (MiB),0.00133133
