Metric,Value
Number of CPU cores,8
Average CPU usage (%),9.06162
Peak CPU usage (%),29.0856
Estimated energy used (J),1992.24
Elapsed wall time (s),8.24846
Elapsed CPU time (s),7.96
Total time taken (ms),114
Total data sent (MiB),1.751
Total comm (sent+received) (MiB),2.30108
Conv data (sent+received) (MiB),1.11107
MatMul data (sent+received) (MiB),0.324303
BatchNorm data (sent+received) (MiB),0
Truncation data (sent+received) (MiB),0.00671768
Relu data (sent+received) (MiB),0.0777683
Maxpool data (sent+received) (MiB),0.41748
Avgpool data (sent+received) (MiB),0
ArgMax data (sent+received) (MiB),0.003685
Conv data received (MiB),0.119109
MatMul data received (MiB),0.178596
BatchNorm data received (MiB),0
Truncation data received (MiB),0.00336647
Relu data received (MiB),0.0389376
Maxpool data received (MiB),0.20874
Avgpool data received (MiB),0
ArgMax data received (MiB),0.00133133
Conv data sent (MiB),0.991958
MatMul data sent (MiB),0.145706
BatchNorm data sent (MiB),0
Truncation data sent (MiB),0.00335121
Relu data sent (MiB),0.0388308
Maxpool data sent (MiB),0.20874
Avgpool data sent (MiB),0
ArgMax data sent (MiB),0.00235367
Total time in Conv (s),0.034
Total time in MatMul (s),0.014
Total time in BatchNorm (s),0
Total time in Truncation (s),0
Total time in Relu (s),0.008
Total time in MaxPool (s),0.049
Total time in AvgPool (s),0
Total time in ArgMax (s),0.002
