Metric,Value
Number of CPU cores,8
Average CPU usage (%),13.9166
Peak CPU usage (%),42.9248
Estimated energy used (J),2670.21
Elapsed wall time (s),1.34946
Elapsed CPU time (s),4.01
Total time taken (ms),0.0881966
Total data sent (MiB),20101024
Total comm (sent+received) (MiB),39134064
Conv data (sent+received) (MiB),1.24595
MatMul data (sent+received) (MiB),25.8346
BatchNorm data (sent+received) (MiB),0
Truncation data (sent+received) (MiB),0
Relu data (sent+received) (MiB),3.13472
Maxpool data (sent+received) (MiB),8.91878
Avgpool data (sent+received) (MiB),0
ArgMax data (sent+received) (MiB),0
Total time in Conv (s),0.199948
Total time in MatMul (s),0.977209
Total time in BatchNorm (s),0
Total time in Truncation (s),0.0499754
Total time in Relu (s),0.0499752
Total time in MaxPool (s),0.109818
Total time in AvgPool (s),0
Total time in ArgMax (s),0
