Metric,Value
Number of CPU cores,8
Average CPU usage (%),19.3008
Peak CPU usage (%),68.7442
Estimated energy used (J),1717.61
Elapsed wall time (s),1.99051
Elapsed CPU time (s),4.44
Total time taken (ms),0.530825
Total data sent (MiB),62252256
Total comm (sent+received) (MiB),114016248
Conv data (sent+received) (MiB),8.97024
MatMul data (sent+received) (MiB),8.97024
BatchNorm data (sent+received) (MiB),0
Truncation data (sent+received) (MiB),0
Relu data (sent+received) (MiB),42.9153
Maxpool data (sent+received) (MiB),62.1281
Avgpool data (sent+received) (MiB),0
ArgMax data (sent+received) (MiB),0
Total time in Conv (s),0.724277
Total time in MatMul (s),0.71922
Total time in BatchNorm (s),0
Total time in Truncation (s),0.564777
Total time in Relu (s),0.564777
Total time in MaxPool (s),0.678771
Total time in AvgPool (s),1.437
Total time in ArgMax (s),0
