Metric,Value
Number of CPU cores,10
Average CPU usage (%),212.428
Peak CPU usage (%),41.983
Estimated energy used (J),241319
Elapsed wall time (s),267.705
Elapsed CPU time (s),1153.95
Total time taken (ms),266518
Total data sent (MiB),74828
Total comm (sent+received) (MiB),149657
Conv data (sent+received) (MiB),68332.3
MatMul data (sent+received) (MiB),74362
BatchNorm data (sent+received) (MiB),0
Truncation data (sent+received) (MiB),113.549
Relu data (sent+received) (MiB),309.169
Maxpool data (sent+received) (MiB),465.711
Avgpool data (sent+received) (MiB),8.78369
ArgMax data (sent+received) (MiB),0
Conv data received (MiB),34156.2
MatMul data received (MiB),37171.1
BatchNorm data received (MiB),0
Truncation data received (MiB),57.0493
Relu data received (MiB),154.584
Maxpool data received (MiB),232.855
Avgpool data received (MiB),4.39185
ArgMax data received (MiB),0
Conv data sent (MiB),34176.1
MatMul data sent (MiB),37190.9
BatchNorm data sent (MiB),0
Truncation data sent (MiB),56.4995
Relu data sent (MiB),154.584
Maxpool data sent (MiB),232.855
Avgpool data sent (MiB),4.39185
ArgMax data sent (MiB),0
Total time in Conv (s),235.712
Total time in MatMul (s),259.738
Total time in BatchNorm (s),0
Total time in Truncation (s),0.63
Total time in Relu (s),1.917
Total time in MaxPool (s),2.842
Total time in AvgPool (s),0.057
Total time in ArgMax (s),0
