Metric,Value
Number of CPU cores,10
Average CPU usage (%),33.7453
Peak CPU usage (%),44.6029
Estimated energy used (J),1.16978e+06
Elapsed wall time (s),1479.78
Elapsed CPU time (s),5848.36
Total time taken (ms),1475849
Total data sent (MiB),378364
Total time in Conv (s),1228.64
Total time in MatMul (s),1228.07
Total time in BatchNorm (s),63.113
Total time in Truncation (s),106.802
Total time in Relu (s),69.138
Total time in MaxPool (s),6.108
Total time in AvgPool (s),0.955
Total time in ArgMax (s),0.089
Conv data sent (MiB),175425
MatMul data sent (MiB),175425
BatchNorm data sent (MiB),7129.43
Truncation data sent (MiB),6443.16
Relu data sent (MiB),5786.49
Maxpool data sent (MiB),502.59
Avgpool data sent (MiB),74.957
ArgMax data sent (MiB),0.652344
