Metric,Value
Number of CPU cores,10
Average CPU usage (%),34.9761
Peak CPU usage (%),44.4396
Estimated energy used (J),1.18785e+06
Elapsed wall time (s),1477.04
Elapsed CPU time (s),5927.71
Total time taken (ms),1475849
Total data sent (MiB),374524
Total comm (sent+received) (MiB),752887
Conv data (sent+received) (MiB),350932
MatMul data (sent+received) (MiB),350932
BatchNorm data (sent+received) (MiB),14258.9
Truncation data (sent+received) (MiB),9095.35
Relu data (sent+received) (MiB),11573
Maxpool data (sent+received) (MiB),1005.18
Avgpool data (sent+received) (MiB),149.914
ArgMax data (sent+received) (MiB),0.754208
Conv data received (MiB),175425
MatMul data received (MiB),175425
BatchNorm data received (MiB),7129.43
Truncation data received (MiB),6443.16
Relu data received (MiB),5786.49
Maxpool data received (MiB),502.59
Avgpool data received (MiB),74.957
ArgMax data received (MiB),0.652344
Conv data sent (MiB),175507
MatMul data sent (MiB),175507
BatchNorm data sent (MiB),7129.43
Truncation data sent (MiB),2652.19
Relu data sent (MiB),5786.49
Maxpool data sent (MiB),502.59
Avgpool data sent (MiB),74.957
ArgMax data sent (MiB),0.101864
Total time in Conv (s),1231.17
Total time in MatMul (s),1230.63
Total time in BatchNorm (s),63.094
Total time in Truncation (s),104.471
Total time in Relu (s),69.248
Total time in MaxPool (s),6.1
Total time in AvgPool (s),0.819
Total time in ArgMax (s),0.06
