Metric,Value
Number of CPU cores,10
Average CPU usage (%),8.2938
Peak CPU usage (%),30.1381
Estimated energy used (J),2672.71
Elapsed wall time (s),18.1823
Elapsed CPU time (s),13.36
Total time taken (ms),6759
Total data sent (MiB),218.799
Total time in Conv (s),4.456
Total time in MatMul (s),0
Total time in BatchNorm (s),0
Total time in Truncation (s),0.45
Total time in Relu (s),0.778
Total time in MaxPool (s),1.017
Total time in AvgPool (s),0.008
Total time in ArgMax (s),0.015
Conv data sent (MiB),8.25286
MatMul data sent (MiB),0
BatchNorm data sent (MiB),0
Truncation data sent (MiB),39.3842
Relu data sent (MiB),69.9233
Maxpool data sent (MiB),101.031
Avgpool data sent (MiB),0.00261688
ArgMax data sent (MiB),0.204315
