Metric,Value
Number of CPU cores,10
Average CPU usage (%),9.95534
Peak CPU usage (%),38.4747
Estimated energy used (J),1307
Elapsed wall time (s),12.052
Elapsed CPU time (s),6.53
Total time taken (ms),643
Total data sent (MiB),8.28172
Total comm (sent+received) (MiB),17.6162
Conv data (sent+received) (MiB),1.12564
MatMul data (sent+received) (MiB),1.0005
BatchNorm data (sent+received) (MiB),0
Truncation data (sent+received) (MiB),4.66788
Relu data (sent+received) (MiB),2.82972
Maxpool data (sent+received) (MiB),7.76807
Avgpool data (sent+received) (MiB),0
ArgMax data (sent+received) (MiB),0.22438
Conv data received (MiB),0.750263
MatMul data received (MiB),0.750256
BatchNorm data received (MiB),0
Truncation data received (MiB),2.33424
Relu data received (MiB),1.41136
Maxpool data received (MiB),3.88403
Avgpool data received (MiB),0
ArgMax data received (MiB),0.204315
Conv data sent (MiB),0.375374
MatMul data sent (MiB),0.250244
BatchNorm data sent (MiB),0
Truncation data sent (MiB),2.33364
Relu data sent (MiB),1.41836
Maxpool data sent (MiB),3.88403
Avgpool data sent (MiB),0
ArgMax data sent (MiB),0.0200653
Total time in Conv (s),0.394
Total time in MatMul (s),0.049
Total time in BatchNorm (s),0
Total time in Truncation (s),0.047
Total time in Relu (s),0.033
Total time in MaxPool (s),0.093
Total time in AvgPool (s),0
Total time in ArgMax (s),0.016
