Metric,Value
Number of CPU cores,10
Average CPU usage (%),10.2767
Peak CPU usage (%),45.968
Estimated energy used (J),69125.3
Elapsed wall time (s),431.603
Elapsed CPU time (s),345.46
Total time taken (ms),415148
Total data sent (MiB),15572.4
Total time in Conv (s),266.388
Total time in MatMul (s),2.269
Total time in BatchNorm (s),12.761
Total time in Truncation (s),84.14
Total time in Relu (s),41.348
Total time in MaxPool (s),7.371
Total time in AvgPool (s),0.029
Total time in ArgMax (s),0.049
Conv data sent (MiB),911.078
MatMul data sent (MiB),0.375128
BatchNorm data sent (MiB),423.519
Truncation data sent (MiB),9090.67
Relu data sent (MiB),4357.46
Maxpool data sent (MiB),786.422
Avgpool data sent (MiB),1.73901
ArgMax data sent (MiB),1.13604
