Metric,Value
Number of CPU cores,10
Average CPU usage (%),23.215
Peak CPU usage (%),38.5421
Estimated energy used (J),254271
Elapsed wall time (s),426.487
Elapsed CPU time (s),1255.68
Total time taken (ms),415149
Total data sent (MiB),14659.1
Total comm (sent+received) (MiB),30231.5
Conv data (sent+received) (MiB),1192.31
MatMul data (sent+received) (MiB),0.50025
BatchNorm data (sent+received) (MiB),564.782
Truncation data (sent+received) (MiB),18181.3
Relu data (sent+received) (MiB),8714.92
Maxpool data (sent+received) (MiB),1572.84
Avgpool data (sent+received) (MiB),3.47803
ArgMax data (sent+received) (MiB),1.32221
Conv data received (MiB),911.078
MatMul data received (MiB),0.375128
BatchNorm data received (MiB),423.519
Truncation data received (MiB),9090.67
Relu data received (MiB),4357.46
Maxpool data received (MiB),786.422
Avgpool data received (MiB),1.73901
ArgMax data received (MiB),1.13604
Conv data sent (MiB),281.229
MatMul data sent (MiB),0.125122
BatchNorm data sent (MiB),141.263
Truncation data sent (MiB),9090.67
Relu data sent (MiB),4357.46
Maxpool data sent (MiB),786.422
Avgpool data sent (MiB),1.73901
ArgMax data sent (MiB),0.186169
Total time in Conv (s),262.756
Total time in MatMul (s),2.266
Total time in BatchNorm (s),9.521
Total time in Truncation (s),87.668
Total time in Relu (s),44.49
Total time in MaxPool (s),7.502
Total time in AvgPool (s),0.027
Total time in ArgMax (s),0.053
