Metric,Value
Number of CPU cores,10
Average CPU usage (%),8.4936
Peak CPU usage (%),24.3174
Estimated energy used (J),13436.3
Elapsed wall time (s),98.3314
Elapsed CPU time (s),67.14
Total time taken (ms),86745
Total data sent (MiB),2517.61
Total time in Conv (s),66.253
Total time in MatMul (s),0.025
Total time in BatchNorm (s),0.227
Total time in Truncation (s),9.79
Total time in Relu (s),7.304
Total time in MaxPool (s),2.952
Total time in AvgPool (s),0.017
Total time in ArgMax (s),0
Conv data sent (MiB),467.675
MatMul data sent (MiB),0.375128
BatchNorm data sent (MiB),7.12743
Truncation data sent (MiB),983.908
Relu data sent (MiB),737.486
Maxpool data sent (MiB),319.908
Avgpool data sent (MiB),1.12732
ArgMax data sent (MiB),0
