Metric,Value
Number of CPU cores,10
Average CPU usage (%),17.2679
Peak CPU usage (%),38.579
Estimated energy used (J),34004.2
Elapsed wall time (s),80.9755
Elapsed CPU time (s),169.4
Total time taken (ms),69033
Total data sent (MiB),3021.84
Total comm (sent+received) (MiB),6386
Conv data (sent+received) (MiB),547.471
MatMul data (sent+received) (MiB),0
BatchNorm data (sent+received) (MiB),0
Truncation data (sent+received) (MiB),1153.82
Relu data (sent+received) (MiB),2008.5
Maxpool data (sent+received) (MiB),2672.68
Avgpool data (sent+received) (MiB),2.20818
ArgMax data (sent+received) (MiB),1.32221
Conv data received (MiB),444.416
MatMul data received (MiB),0
BatchNorm data received (MiB),0
Truncation data received (MiB),576.913
Relu data received (MiB),1004.25
Maxpool data received (MiB),1336.34
Avgpool data received (MiB),1.10473
ArgMax data received (MiB),1.13604
Conv data sent (MiB),103.055
MatMul data sent (MiB),0
BatchNorm data sent (MiB),0
Truncation data sent (MiB),576.91
Relu data sent (MiB),1004.25
Maxpool data sent (MiB),1336.34
Avgpool data sent (MiB),1.10345
ArgMax data sent (MiB),0.186169
Total time in Conv (s),40.276
Total time in MatMul (s),0
Total time in BatchNorm (s),0
Total time in Truncation (s),5.356
Total time in Relu (s),10.437
Total time in MaxPool (s),12.752
Total time in AvgPool (s),0.022
Total time in ArgMax (s),0.055
