Metric,Value
Number of CPU cores,10
Average CPU usage (%),21.8329
Peak CPU usage (%),40.2238
Estimated energy used (J),724.187
Elapsed wall time (s),1.89832
Elapsed CPU time (s),3.62
Total time taken (ms),701
Total data sent (MiB),79.4249
Total time in Conv (s),0.454
Total time in MatMul (s),0.478
Total time in BatchNorm (s),0
Total time in Truncation (s),0.074
Total time in Relu (s),0.036
Total time in MaxPool (s),0.083
Total time in AvgPool (s),0
Total time in ArgMax (s),0.023
Conv data sent (MiB),34.0663
MatMul data sent (MiB),35.5584
BatchNorm data sent (MiB),0
Truncation data sent (MiB),1.88343
Relu data sent (MiB),0.878098
Maxpool data sent (MiB),2.45563
Avgpool data sent (MiB),0
ArgMax data sent (MiB),0.078125
