Metric,Value
Number of CPU cores,10
Average CPU usage (%),21.0591
Peak CPU usage (%),39.0643
Estimated energy used (J),729.484
Elapsed wall time (s),1.8919
Elapsed CPU time (s),3.63
Total time taken (ms),701
Total data sent (MiB),79.3685
Total comm (sent+received) (MiB),158.793
Conv data (sent+received) (MiB),70.943
MatMul data (sent+received) (MiB),73.9273
BatchNorm data (sent+received) (MiB),0
Truncation data (sent+received) (MiB),3.77083
Relu data (sent+received) (MiB),1.7562
Maxpool data (sent+received) (MiB),4.91125
Avgpool data (sent+received) (MiB),0
ArgMax data (sent+received) (MiB),0.0812836
Conv data received (MiB),34.0663
MatMul data received (MiB),35.5584
BatchNorm data received (MiB),0
Truncation data received (MiB),1.88343
Relu data received (MiB),0.878098
Maxpool data received (MiB),2.45563
Avgpool data received (MiB),0
ArgMax data received (MiB),0.078125
Conv data sent (MiB),36.8767
MatMul data sent (MiB),38.3688
BatchNorm data sent (MiB),0
Truncation data sent (MiB),1.8874
Relu data sent (MiB),0.878098
Maxpool data sent (MiB),2.45563
Avgpool data sent (MiB),0
ArgMax data sent (MiB),0.00315857
Total time in Conv (s),0.451
Total time in MatMul (s),0.475
Total time in BatchNorm (s),0
Total time in Truncation (s),0.074
Total time in Relu (s),0.035
Total time in MaxPool (s),0.086
Total time in AvgPool (s),0
Total time in ArgMax (s),0.023
