Metric,Value
Number of CPU cores,10
Average CPU usage (%),34.042
Peak CPU usage (%),44.605
Estimated energy used (J),1.28035e+06
Elapsed wall time (s),1575.55
Elapsed CPU time (s),6379.92
Total time taken (ms),1574358
Total data sent (MiB),436396
Total comm (sent+received) (MiB),877800
Conv data (sent+received) (MiB),424270
MatMul data (sent+received) (MiB),424483
BatchNorm data (sent+received) (MiB),6740.26
Truncation data (sent+received) (MiB),8317.73
Relu data (sent+received) (MiB),5624.55
Maxpool data (sent+received) (MiB),1005.18
Avgpool data (sent+received) (MiB),2.88916
ArgMax data (sent+received) (MiB),0.754208
Conv data received (MiB),212094
MatMul data received (MiB),212200
BatchNorm data received (MiB),3370.13
Truncation data received (MiB),6630.7
Relu data received (MiB),2812.28
Maxpool data received (MiB),502.59
Avgpool data received (MiB),1.44458
ArgMax data received (MiB),0.652344
Conv data sent (MiB),212176
MatMul data sent (MiB),212283
BatchNorm data sent (MiB),3370.13
Truncation data sent (MiB),1687.02
Relu data sent (MiB),2812.28
Maxpool data sent (MiB),502.59
Avgpool data sent (MiB),1.44458
ArgMax data sent (MiB),0.101864
Total time in Conv (s),1379.32
Total time in MatMul (s),1380.01
Total time in BatchNorm (s),29.909
Total time in Truncation (s),123.101
Total time in Relu (s),34.331
Total time in MaxPool (s),5.906
Total time in AvgPool (s),0.034
Total time in ArgMax (s),0.064
