Metric,Value
Number of CPU cores,10
Average CPU usage (%),31.048
Peak CPU usage (%),42.5377
Estimated energy used (J),64499.6
Elapsed wall time (s),94.3894
Elapsed CPU time (s),322.3
Total time taken (ms),92967
Total data sent (MiB),16632.3
Total time in Conv (s),72.597
Total time in MatMul (s),71.145
Total time in BatchNorm (s),0.569
Total time in Truncation (s),11.037
Total time in Relu (s),6.291
Total time in MaxPool (s),2.322
Total time in AvgPool (s),0.023
Total time in ArgMax (s),0
Conv data sent (MiB),7442.67
MatMul data sent (MiB),7443.15
BatchNorm data sent (MiB),56.5439
Truncation data sent (MiB),679.539
Relu data sent (MiB),484.472
Maxpool data sent (MiB),199.471
Avgpool data sent (MiB),0.980103
ArgMax data sent (MiB),0
