Metric,Value
Number of CPU cores,10
Average CPU usage (%),33.9677
Peak CPU usage (%),42.6838
Estimated energy used (J),66278.4
Elapsed wall time (s),94.1533
Elapsed CPU time (s),330.36
Total time taken (ms),92967
Total data sent (MiB),16176.6
Total comm (sent+received) (MiB),32809
Conv data (sent+received) (MiB),15113.8
MatMul data (sent+received) (MiB),15114.8
BatchNorm data (sent+received) (MiB),113.088
Truncation data (sent+received) (MiB),908.897
Relu data (sent+received) (MiB),968.944
Maxpool data (sent+received) (MiB),398.942
Avgpool data (sent+received) (MiB),1.96021
ArgMax data (sent+received) (MiB),0
Conv data received (MiB),7442.67
MatMul data received (MiB),7443.15
BatchNorm data received (MiB),56.5439
Truncation data received (MiB),679.539
Relu data received (MiB),484.472
Maxpool data received (MiB),199.471
Avgpool data received (MiB),0.980103
ArgMax data received (MiB),0
Conv data sent (MiB),7671.16
MatMul data sent (MiB),7671.64
BatchNorm data sent (MiB),56.5439
Truncation data sent (MiB),229.358
Relu data sent (MiB),484.472
Maxpool data sent (MiB),199.471
Avgpool data sent (MiB),0.980103
ArgMax data sent (MiB),0
Total time in Conv (s),72.939
Total time in MatMul (s),71.441
Total time in BatchNorm (s),0.57
Total time in Truncation (s),10.958
Total time in Relu (s),6.03
Total time in MaxPool (s),2.319
Total time in AvgPool (s),0.023
Total time in ArgMax (s),0
